Edad,Horas_estudio,Evaluaciones_aprobadas,Participacion_foro,Tareas_entregadas,Perfil
36,6.5,5,3,3,en_riesgo
22,7.8,7,5,6,rendimiento_medio
36,7.8,8,7,7,rendimiento_medio
43,3.7,3,0,3,bajo_rendimiento
26,5.2,4,5,8,en_riesgo
34,2.5,4,6,7,en_riesgo
32,4.0,3,3,4,en_riesgo
24,15.1,9,10,10,alto_rendimiento
20,11.3,9,9,10,alto_rendimiento
27,9.6,6,5,6,rendimiento_medio
53,2.7,2,4,3,bajo_rendimiento
18,13.0,9,8,10,alto_rendimiento
25,15.3,9,8,10,alto_rendimiento
52,1.4,1,3,3,bajo_rendimiento
27,7.8,6,7,6,rendimiento_medio
52,3.2,2,1,3,bajo_rendimiento
32,6.9,4,8,8,rendimiento_medio
31,6.6,7,8,8,rendimiento_medio
34,7.1,4,4,4,en_riesgo
23,12.0,10,9,12,alto_rendimiento
34,5.8,5,2,7,en_riesgo
27,8.1,5,8,7,rendimiento_medio
39,7.5,5,2,4,en_riesgo
21,12.8,10,8,9,alto_rendimiento
22,12.7,7,11,12,alto_rendimiento
25,6.0,7,3,7,rendimiento_medio
25,14.9,9,8,10,alto_rendimiento
46,1.3,3,2,4,bajo_rendimiento
43,3.9,1,0,2,bajo_rendimiento
42,2.2,3,1,1,bajo_rendimiento
23,13.5,8,8,12,alto_rendimiento
38,5.6,4,10,4,en_riesgo
45,1.8,1,0,1,bajo_rendimiento
27,3.8,3,3,4,en_riesgo
27,12.0,9,8,12,alto_rendimiento
31,9.1,7,4,9,rendimiento_medio
50,0.5,1,2,4,bajo_rendimiento
31,6.1,6,7,5,rendimiento_medio
39,6.2,6,4,4,en_riesgo
33,11.1,5,7,9,rendimiento_medio
27,9.8,5,6,7,rendimiento_medio
18,11.4,11,9,12,alto_rendimiento
40,2.0,2,3,2,bajo_rendimiento
34,3.2,4,5,5,en_riesgo
22,15.3,8,11,12,alto_rendimiento
24,13.7,9,8,12,alto_rendimiento
28,7.5,6,6,8,rendimiento_medio
24,11.5,10,8,8,alto_rendimiento
46,0.5,1,1,1,bajo_rendimiento
36,7.1,3,5,6,en_riesgo
47,0.8,3,4,2,bajo_rendimiento
20,11.9,10,7,11,alto_rendimiento
20,13.4,9,9,9,alto_rendimiento
29,11.7,11,8,11,alto_rendimiento
29,8.3,7,6,5,rendimiento_medio
38,5.3,5,6,6,en_riesgo
28,12.0,10,9,11,alto_rendimiento
20,14.6,8,8,10,alto_rendimiento
23,13.3,9,8,11,alto_rendimiento
26,17.3,7,7,11,alto_rendimiento
19,12.3,11,10,12,alto_rendimiento
39,1.5,2,1,0,bajo_rendimiento
29,15.6,7,10,11,alto_rendimiento
18,14.2,7,10,11,alto_rendimiento
23,12.6,11,8,12,alto_rendimiento
35,0.5,4,4,5,en_riesgo
38,1.9,2,3,1,bajo_rendimiento
29,13.2,8,8,10,alto_rendimiento
36,4.2,4,3,4,en_riesgo
30,9.5,6,6,10,rendimiento_medio
23,12.9,9,9,12,alto_rendimiento
42,1.0,2,4,2,bajo_rendimiento
49,1.8,2,4,7,bajo_rendimiento
33,5.0,3,5,5,en_riesgo
31,9.5,7,7,7,rendimiento_medio
28,5.6,5,7,6,rendimiento_medio
32,6.1,4,5,4,en_riesgo
19,11.1,10,6,8,alto_rendimiento
21,11.4,8,11,12,alto_rendimiento
35,5.2,3,4,3,en_riesgo
42,2.5,1,2,3,bajo_rendimiento
37,2.9,0,3,4,bajo_rendimiento
21,9.9,5,4,7,rendimiento_medio
17,12.1,11,9,12,alto_rendimiento
26,8.0,6,9,8,rendimiento_medio
27,14.5,9,10,10,alto_rendimiento
20,12.9,8,8,12,alto_rendimiento
32,3.8,5,3,4,en_riesgo
19,10.7,9,9,12,alto_rendimiento
22,13.4,8,11,12,alto_rendimiento
36,4.8,4,6,6,en_riesgo
44,1.6,4,3,1,bajo_rendimiento
48,1.7,3,2,2,bajo_rendimiento
26,7.2,5,4,9,rendimiento_medio
51,5.3,3,0,2,bajo_rendimiento
20,7.8,4,5,11,rendimiento_medio
50,1.4,0,3,2,bajo_rendimiento
34,5.5,5,6,7,rendimiento_medio
24,12.7,8,8,12,alto_rendimiento
25,7.6,6,6,7,rendimiento_medio
24,13.2,8,9,10,alto_rendimiento
28,6.6,6,4,8,rendimiento_medio
29,10.5,6,5,8,rendimiento_medio
39,5.8,4,5,1,en_riesgo
37,2.9,0,2,3,bajo_rendimiento
31,11.8,11,8,10,alto_rendimiento
33,4.0,5,4,3,en_riesgo
20,12.3,10,9,8,alto_rendimiento
28,13.1,9,9,9,alto_rendimiento
37,4.2,3,6,7,en_riesgo
19,10.3,10,10,11,alto_rendimiento
30,10.1,6,7,9,rendimiento_medio
45,1.7,4,0,3,bajo_rendimiento
26,8.1,6,6,7,rendimiento_medio
49,5.9,0,2,4,bajo_rendimiento
29,6.5,6,6,9,rendimiento_medio
25,12.6,8,10,10,alto_rendimiento
18,13.9,9,8,12,alto_rendimiento
26,8.4,7,8,9,rendimiento_medio
44,0.5,1,2,2,bajo_rendimiento
23,6.2,4,5,9,rendimiento_medio
25,14.5,10,8,11,alto_rendimiento
35,4.8,4,6,7,en_riesgo
18,12.1,8,9,12,alto_rendimiento
36,7.8,5,4,8,rendimiento_medio
44,4.1,2,1,0,bajo_rendimiento
22,12.9,9,7,6,alto_rendimiento
23,8.0,6,6,8,rendimiento_medio
17,18.5,10,8,12,alto_rendimiento
38,6.5,5,5,5,en_riesgo
24,12.4,9,10,11,alto_rendimiento
24,15.0,12,9,10,alto_rendimiento
17,11.9,9,8,12,alto_rendimiento
22,9.5,11,9,12,alto_rendimiento
47,1.2,0,0,3,bajo_rendimiento
49,4.1,2,2,3,bajo_rendimiento
39,6.3,4,5,2,en_riesgo
42,0.8,4,3,1,bajo_rendimiento
28,7.3,7,4,7,rendimiento_medio
21,11.1,9,7,12,alto_rendimiento
50,3.7,2,0,3,bajo_rendimiento
40,7.8,3,2,5,en_riesgo
33,4.8,4,1,3,en_riesgo
40,0.7,0,3,1,bajo_rendimiento
34,8.3,5,4,5,en_riesgo
38,6.0,4,3,7,en_riesgo
25,8.3,5,5,7,rendimiento_medio
34,5.5,5,4,7,en_riesgo
32,7.0,5,9,8,rendimiento_medio
17,12.0,9,9,12,alto_rendimiento
48,0.5,2,3,3,bajo_rendimiento
25,12.9,9,8,12,alto_rendimiento
41,2.2,2,1,2,bajo_rendimiento
33,8.3,6,6,11,rendimiento_medio
41,2.5,0,1,3,bajo_rendimiento
38,5.4,4,6,7,en_riesgo
49,4.0,1,2,1,bajo_rendimiento
27,7.9,6,7,8,rendimiento_medio
44,1.9,2,7,2,bajo_rendimiento
44,2.1,2,3,0,bajo_rendimiento
45,0.5,3,2,0,bajo_rendimiento
47,0.5,4,4,3,bajo_rendimiento
35,4.5,2,5,9,en_riesgo
29,9.1,5,6,8,rendimiento_medio
30,10.8,7,8,11,rendimiento_medio
20,14.9,9,10,12,alto_rendimiento
20,11.8,7,12,12,alto_rendimiento
22,10.1,9,9,9,alto_rendimiento
22,11.5,9,8,12,alto_rendimiento
31,5.5,5,6,7,rendimiento_medio
46,1.8,2,1,0,bajo_rendimiento
30,7.5,7,4,9,rendimiento_medio
24,10.1,7,6,8,rendimiento_medio
28,11.1,5,8,8,rendimiento_medio
31,7.0,4,7,6,rendimiento_medio
28,6.1,5,2,5,en_riesgo
33,9.2,5,8,8,rendimiento_medio
20,11.9,10,11,12,alto_rendimiento
24,11.9,8,9,12,alto_rendimiento
42,6.5,4,4,5,en_riesgo
24,11.9,8,9,11,alto_rendimiento
41,6.1,5,3,4,en_riesgo
25,7.3,6,4,9,rendimiento_medio
35,5.0,6,6,3,en_riesgo
33,5.8,6,6,8,rendimiento_medio
31,6.7,5,6,11,rendimiento_medio
42,7.2,3,2,9,en_riesgo
34,6.3,4,4,5,en_riesgo
22,12.0,9,10,11,alto_rendimiento
43,2.8,6,1,3,en_riesgo
31,9.2,5,5,11,rendimiento_medio
21,13.2,8,10,12,alto_rendimiento
26,11.7,10,11,12,alto_rendimiento
33,10.4,5,7,6,rendimiento_medio
31,3.8,5,2,4,en_riesgo
34,9.4,6,6,7,rendimiento_medio
27,13.7,7,10,9,alto_rendimiento
29,8.3,4,5,9,rendimiento_medio
25,10.0,6,5,8,rendimiento_medio
31,4.9,4,3,4,en_riesgo
22,12.8,9,9,12,alto_rendimiento
25,15.7,8,10,12,alto_rendimiento
29,4.8,5,4,4,en_riesgo
40,3.6,4,6,5,en_riesgo
27,11.6,10,7,11,alto_rendimiento
28,8.3,6,5,8,rendimiento_medio
22,13.2,8,10,12,alto_rendimiento
28,8.9,7,5,12,rendimiento_medio
27,10.6,10,10,10,alto_rendimiento
28,4.8,4,5,9,rendimiento_medio
31,4.0,5,4,8,en_riesgo
22,14.6,8,9,12,alto_rendimiento
37,6.8,4,4,5,en_riesgo
27,8.4,5,8,9,rendimiento_medio
31,7.2,7,5,7,rendimiento_medio
32,7.9,8,6,7,rendimiento_medio
25,8.1,8,3,9,rendimiento_medio
53,0.8,1,2,3,bajo_rendimiento
25,5.3,5,6,7,rendimiento_medio
21,13.2,10,9,12,alto_rendimiento
46,0.5,2,0,3,bajo_rendimiento
20,14.4,9,7,9,alto_rendimiento
49,3.7,1,4,0,bajo_rendimiento
21,11.2,8,11,10,alto_rendimiento
29,11.3,10,9,11,alto_rendimiento
